"annotation_id","annotator","comment","created_at","id","lead_time","rating","sentiment","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
29,"1","Все отлично! Спасибо.","2025-05-15T09:45:03.568186Z",3805876,9.788,5,"Нравится качество выполнения заявки","2025-05-15T09:45:03.568186Z","","","","",""
30,"1","Хороший мастер","2025-05-15T09:45:18.131911Z",3812092,12.577,5,"Нравится качество работы сотрудников","2025-05-15T09:45:18.131911Z","","","","",""
31,"1","Спасибо за оперативность! 
","2025-05-15T09:45:24.818723Z",3815412,4.352,5,"Нравится скорость отработки заявок","2025-05-15T09:45:24.818723Z","","","","",""
32,"1","выполнена

","2025-05-15T09:45:30.708803Z",3820641,3.115,5,"Вопрос решен","2025-05-15T09:45:30.708803Z","","","","",""
33,"1","Все супер, Мастер 👍","2025-05-15T09:46:12.459577Z",3828569,38.569,5,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}","2025-05-15T09:46:12.459577Z","","","","",""
34,"1","Благодарю ребят.","2025-05-15T09:46:18.752088Z",3829748,4.518,5,"Нравится качество работы сотрудников","2025-05-15T09:46:18.752088Z","","","","",""
35,"1","Спасибо большое ","2025-05-15T09:46:24.951362Z",3831509,4.771,5,"не подходит не к одой теме","2025-05-15T09:46:24.951362Z","","","","",""
36,"1","спасибо","2025-05-15T09:46:29.370926Z",3831883,2.578,5,"не подходит не к одой теме","2025-05-15T09:46:29.370926Z","","","","",""
37,"1","Спасибо!","2025-05-15T09:46:32.320773Z",3832952,2.005,5,"не подходит не к одой теме","2025-05-15T09:46:32.320773Z","","","","",""
38,"1","Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!","2025-05-15T09:46:59.886560Z",3834081,21.778,5,"{""choices"":[""Нравится качество выполнения заявки"",""Вопрос решен""]}","2025-05-15T09:46:59.886560Z","","","","",""
39,"1","Благодарю за проделанную работу! ","2025-05-15T09:47:18.053095Z",3835748,7.455,5,"Нравится качество выполнения заявки","2025-05-15T09:47:18.053095Z","","","","",""
40,"1","надеюсь и причину устранили, а то после первого дождя будет тоже самое..","2025-05-15T09:47:41.349522Z",3835874,14.482,5,"Вопрос решен","2025-05-15T09:47:41.349522Z","","","","",""
41,"1","Спасибо, всё чётко.","2025-05-15T09:48:31.575581Z",3839647,47.667,5,"{""choices"":[""Нравится качество выполнения заявки"",""Вопрос решен""]}","2025-05-15T09:48:31.575581Z","","","","",""
42,"1","Благодарю ","2025-05-15T09:48:37.343624Z",3840353,4.521,5,"не подходит не к одой теме","2025-05-15T09:48:37.343624Z","","","","",""
43,"1","Спасибо Сергей ! ))))","2025-05-15T09:48:40.284879Z",3841026,1.548,5,"не подходит не к одой теме","2025-05-15T09:48:40.284879Z","","","","",""
44,"1","Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)","2025-05-15T09:48:54.333328Z",3842440,12.753,5,"Нравится качество работы сотрудников","2025-05-15T09:48:54.333328Z","","","","",""
45,"1","хоть что то сделали 👍👏","2025-05-15T09:49:04.737110Z",3842790,3.668,5,"Вопрос решен","2025-05-15T09:49:04.737110Z","","","","",""
46,"1","спасибо)","2025-05-15T09:49:09.377643Z",3843760,2.017,5,"не подходит не к одой теме","2025-05-15T09:49:09.377643Z","","","","",""
47,"1","профессионально, быстро. очень приятный мастер","2025-05-15T09:49:14.912551Z",3844645,2.332,5,"Нравится качество работы сотрудников","2025-05-15T09:49:14.912551Z","","","","",""
48,"1","спасибо! ","2025-05-15T09:49:17.496729Z",3846820,1.472,5,"не подходит не к одой теме","2025-05-15T09:49:17.496729Z","","","","",""
49,"1","Спасибо, вопрос решили, всё стало нормально ","2025-05-15T09:49:32.315795Z",3846831,6.852,5,"Вопрос решен","2025-05-15T09:49:32.315795Z","","","","",""
50,"1","Татьяна Владимировна большое вам спасибо!!!! ","2025-05-15T09:49:55.964951Z",3848236,17.771,5,"Нравится качество работы сотрудников","2025-05-15T09:49:55.964951Z","","","","",""
51,"1","спасибо! ","2025-05-15T09:49:58.804056Z",3850021,1.581,5,"не подходит не к одой теме","2025-05-15T09:49:58.805056Z","","","","",""
52,"1","спасибо за  быстрый ответ! 


","2025-05-15T09:50:04.556849Z",3850118,4.501,1,"Нравится скорость отработки заявок","2025-05-15T09:50:04.556849Z","","","","",""
53,"1","Огромное спасибо вам от всего подъезда!!!   )))))","2025-05-15T09:50:12.543803Z",3852179,6.876,5,"Нравится качество выполнения заявки","2025-05-15T09:50:12.543803Z","","","","",""
54,"1","спасибо!)","2025-05-15T09:50:21.354840Z",3852743,7.638,5,"не подходит не к одой теме","2025-05-15T09:50:21.354840Z","","","","",""
55,"1","спасибо ","2025-05-15T09:50:26.362846Z",3852975,4.001,5,"не подходит не к одой теме","2025-05-15T09:50:26.362846Z","","","","",""
56,"1","Все отлично ","2025-05-15T09:50:29.239044Z",3854073,1.707,5,"не подходит не к одой теме","2025-05-15T09:50:29.239044Z","","","","",""
57,"1","свершилось","2025-05-15T09:50:32.575150Z",3856028,1.521,1,"не подходит не к одой теме","2025-05-15T09:50:32.575150Z","","","","",""
58,"1","Спасибо мастеру ","2025-05-15T09:50:36.258698Z",3859764,2.576,5,"Нравится качество работы сотрудников","2025-05-15T09:50:36.258698Z","","","","",""
59,"1","спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝","2025-05-15T09:50:44.018895Z",3859780,4.092,5,"Нравится скорость отработки заявок","2025-05-15T09:50:44.018895Z","","","","",""
60,"1","Среагировали быстро, благодарю ","2025-05-15T09:51:32.726692Z",3860248,28.244,5,"Нравится скорость отработки заявок","2025-05-15T09:51:32.726692Z","","","","",""
61,"1","Спасибо за оперативность!","2025-05-15T09:51:36.965383Z",3860900,1.994,5,"Нравится скорость отработки заявок","2025-05-15T09:51:36.965383Z","","","","",""
62,"1","Отличный мастер!","2025-05-15T09:51:40.954560Z",3862448,2.301,5,"Нравится качество работы сотрудников","2025-05-15T09:51:40.954560Z","","","","",""
64,"1","Спасибо! По крайней мере, по ночам пока шума не слышно.","2025-05-15T09:52:49.918358Z",3863351,1.643,5,"не подходит не к одой теме","2025-05-15T09:52:49.918358Z","","","","",""
63,"1","Быстро ","2025-05-15T09:52:45.902295Z",3863609,49.727,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-15T09:52:45.902295Z","","","","",""
65,"1","Спасибо за своевременное выполнение заявки...","2025-05-15T09:53:02.453240Z",3866829,8.951,5,"Нравится скорость отработки заявок","2025-05-15T09:53:02.453240Z","","","","",""
66,"1","все сделали быстро. спасибо ","2025-05-15T09:53:10.944557Z",3866867,2.101,5,"Нравится скорость отработки заявок","2025-05-15T09:53:10.944557Z","","","","",""
67,"1","всё отлично 👍","2025-05-15T09:53:20.105383Z",3868883,7.322,5,"не подходит не к одой теме","2025-05-15T09:53:20.105383Z","","","","",""
68,"1","Спасибо ","2025-05-15T09:53:54.822509Z",3871379,2.421,5,"не подходит не к одой теме","2025-05-15T09:53:54.822509Z","","","","",""
69,"1","Большое спасибо Александру,за оперативность и профессионализм ","2025-05-15T09:54:00.308534Z",3872124,3.451,5,"Нравится качество работы сотрудников","2025-05-15T09:54:00.308534Z","","","","",""
70,"1","благодарю ","2025-05-15T09:54:25.374313Z",3872129,3.413,5,"не подходит не к одой теме","2025-05-15T09:54:25.374313Z","","","","",""
71,"1","оперативно и качественно. спасибо ","2025-05-15T09:54:36.612930Z",3873692,7.01,5,"Нравится качество выполнения заявки","2025-05-15T09:54:36.612930Z","","","","",""
72,"1","Спасибо!","2025-05-15T09:54:41.456183Z",3874941,3.785,5,"не подходит не к одой теме","2025-05-15T09:54:41.456183Z","","","","",""
73,"1","благодарю, всего доброго!","2025-05-15T09:54:50.487096Z",3875262,6.943,5,"не подходит не к одой теме","2025-05-15T09:54:50.487096Z","","","","",""
74,"1","спасибо","2025-05-15T09:54:55.113900Z",3876790,3.396,5,"не подходит не к одой теме","2025-05-15T09:54:55.113900Z","","","","",""
75,"1","Спасибо ","2025-05-15T09:54:57.603657Z",3876998,1.456,5,"не подходит не к одой теме","2025-05-15T09:54:57.603657Z","","","","",""
76,"1","Спасибо большое! ","2025-05-15T09:55:00.138687Z",3877186,1.548,5,"не подходит не к одой теме","2025-05-15T09:55:00.138687Z","","","","",""
77,"1","Спасибо!","2025-05-15T09:55:02.799952Z",3877315,1.595,5,"не подходит не к одой теме","2025-05-15T09:55:02.799952Z","","","","",""
78,"1","К мастеру вопросов нет.  ","2025-05-15T09:55:14.032940Z",3877334,6.667,3,"Нравится качество работы сотрудников","2025-05-15T09:55:14.032940Z","","","","",""
79,"1","Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!","2025-05-15T09:55:19.850315Z",3877901,2.775,5,"Нравится качество работы сотрудников","2025-05-15T09:55:19.850315Z","","","","",""
80,"1","вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ","2025-05-15T09:55:34.034620Z",3878088,12.417,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-15T09:55:34.034620Z","","","","",""
81,"1","спасибо большое! надолго ли🙄","2025-05-15T09:55:46.395005Z",3878555,13.526,5,"не подходит не к одой теме","2025-05-15T09:55:59.609613Z","","","","",""
82,"1","Огромное спасибо! ","2025-05-15T09:55:52.663934Z",3878808,1.772,5,"не подходит не к одой теме","2025-05-15T09:55:52.663934Z","","","","",""
83,"1","Всё очень четко организовано! Большое спасибо за работу!","2025-05-15T09:56:06.306411Z",3879856,5.4,5,"Нравится качество выполнения заявки","2025-05-15T09:56:06.306411Z","","","","",""
84,"1","Спасибо Вам большое и за дверь и за номера квартир!","2025-05-15T09:56:21.378508Z",3880345,11.082,5,"Вопрос решен","2025-05-15T09:56:21.379507Z","","","","",""
85,"1","снимаю звезду за первую отписку без выполнения работ","2025-05-15T09:57:10.487414Z",3880717,3.697,3,"не подходит не к одой теме","2025-05-15T09:57:10.487414Z","","","","",""
86,"1","В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ","2025-05-15T09:57:27.525700Z",3881004,7.126,5,"Нравится качество работы сотрудников","2025-05-15T09:57:27.525700Z","","","","",""
87,"1","Спасибо!","2025-05-15T09:57:31.552373Z",3881432,3.195,5,"не подходит не к одой теме","2025-05-15T09:57:31.552373Z","","","","",""
88,"1","Спасибо! Все заработало ","2025-05-15T09:57:35.646084Z",3881460,7.472,5,"Вопрос решен","2025-05-15T10:00:43.084920Z","","","","",""
89,"1","спасибо, решили мой вопрос на месте в офисе ","2025-05-15T09:57:47.496847Z",3881636,10.123,5,"Вопрос решен","2025-05-15T09:57:47.496847Z","","","","",""
90,"1","Спасибо больше Ольге Птушкине, за проделанную работу! ","2025-05-15T10:00:34.251386Z",3882840,14.26,5,"{""choices"":[""Нравится качество выполнения заявки"",""Понравилось выполнение заявки""]}","2025-05-15T10:00:34.251386Z","","","","",""
428,"1","Спасибо ","2025-05-15T12:39:52.316907Z",3883049,1.803,5,"не подходит не к одой теме","2025-05-15T12:39:52.316907Z","","","","",""
91,"1","всё сделали хорошо, починили вовремя. наверное, молодцы.","2025-05-15T10:01:05.383945Z",3883200,15.035,5,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-15T10:01:05.383945Z","","","","",""
92,"1","Спасибо","2025-05-15T10:01:15.796817Z",3883457,4.352,5,"не подходит не к одой теме","2025-05-15T10:01:15.796817Z","","","","",""
93,"1","Супер! Спасибо!","2025-05-15T10:01:18.057028Z",3883549,1.622,5,"не подходит не к одой теме","2025-05-15T10:01:18.057028Z","","","","",""
94,"1","Отлично! Все выполнили как и обещали! ","2025-05-15T10:01:39.921775Z",3883658,14.925,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-15T10:01:39.921775Z","","","","",""
95,"1","Очень оперативно. Спасибо большое ","2025-05-15T10:01:47.675507Z",3883736,6.06,5,"Нравится скорость отработки заявок","2025-05-15T10:01:47.675507Z","","","","",""
96,"1","Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.","2025-05-15T10:02:21.536353Z",3883745,32.143,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-15T10:02:21.536353Z","","","","",""
97,"1","Спасибо","2025-05-15T10:02:25.706139Z",3883823,4.108,5,"не подходит не к одой теме","2025-05-15T10:02:30.217298Z","","","","",""
98,"1","спасибо","2025-05-15T10:02:32.721650Z",3884514,1.458,5,"не подходит не к одой теме","2025-05-15T10:02:32.721650Z","","","","",""
99,"1","Спасибо ","2025-05-15T10:02:36.833734Z",3884705,1.474,5,"не подходит не к одой теме","2025-05-15T10:02:36.833734Z","","","","",""
100,"1","Умело подкрутили редукторы давления. Молодец!","2025-05-15T10:02:52.290094Z",3884964,10.233,5,"Нравится качество работы сотрудников","2025-05-15T10:02:52.290094Z","","","","",""
101,"1","все хорошо,дверь практически бесшумно закрывается","2025-05-15T10:03:04.481928Z",3885089,10.295,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-15T10:03:04.481928Z","","","","",""
102,"1","Спасибо ","2025-05-15T10:03:10.839816Z",3885291,4.06,5,"не подходит не к одой теме","2025-05-15T10:03:10.839816Z","","","","",""
103,"1","спасибо)","2025-05-15T10:03:13.219095Z",3885807,1.46,5,"не подходит не к одой теме","2025-05-15T10:03:13.219095Z","","","","",""
104,"1","проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам","2025-05-15T10:03:38.328462Z",3886150,3.328,5,"не подходит не к одой теме","2025-05-15T10:03:38.328462Z","","","","",""
105,"1","быстро, чётко, без проблем. одно слово - мастер! ","2025-05-15T10:04:03.793611Z",3886231,19.038,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}","2025-05-15T10:04:03.793611Z","","","","",""
106,"1","Работает. Спасибо!","2025-05-15T10:05:01.830399Z",3886721,10.813,5,"Вопрос решен","2025-05-15T10:05:01.830399Z","","","","",""
107,"1","сегодня ездил, все исправно работает, спасибо!","2025-05-15T10:05:09.410947Z",3886923,5.689,5,"Вопрос решен","2025-05-15T10:05:09.410947Z","","","","",""
108,"1","Спасибо большое, всё понятно.","2025-05-15T10:05:21.865969Z",3886937,11.026,5,"не подходит не к одой теме","2025-05-15T10:05:21.865969Z","","","","",""
109,"1","Татьяна спасибо ❤️","2025-05-15T10:05:47.461259Z",3887002,21.327,5,"Нравится качество работы сотрудников","2025-05-15T10:05:47.461259Z","","","","",""
110,"1","На вопрос ответили. Крепления нельзя повесить в колясочной","2025-05-15T10:06:23.731796Z",3887203,31.527,5,"не подходит не к одой теме","2025-05-15T10:06:23.731796Z","","","","",""
111,"1","Большое спасибо!","2025-05-15T10:06:26.261838Z",3887228,1.603,5,"не подходит не к одой теме","2025-05-15T10:06:26.261838Z","","","","",""
112,"1","Лучший ","2025-05-15T10:06:29.172797Z",3887353,1.942,5,"не подходит не к одой теме","2025-05-15T10:06:29.172797Z","","","","",""
113,"1","спасибо за оперативность ","2025-05-15T10:06:35.994234Z",3887358,5.307,5,"Нравится скорость отработки заявок","2025-05-15T10:06:35.994234Z","","","","",""
114,"1","спасибо ","2025-05-15T10:06:38.096688Z",3887389,1.455,5,"не подходит не к одой теме","2025-05-15T10:06:38.096688Z","","","","",""
115,"1","спасибо за то что быстро отреагировали","2025-05-15T10:06:48.706168Z",3887392,4.331,5,"Нравится скорость отработки заявок","2025-05-15T10:06:48.706168Z","","","","",""
116,"1","Сервис на высоте, мастер - профессионал","2025-05-15T10:08:40.314848Z",3887422,4.172,5,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}","2025-05-15T10:08:40.314848Z","","","","",""
117,"1","спасибо","2025-05-15T10:08:44.639659Z",3887496,2.532,5,"не подходит не к одой теме","2025-05-15T10:08:44.639659Z","","","","",""
118,"1","спасибо большое","2025-05-15T10:08:48.738047Z",3887525,2.662,5,"не подходит не к одой теме","2025-05-15T10:08:48.738047Z","","","","",""
119,"1","ок ","2025-05-15T10:08:52.017284Z",3887606,1.954,1,"не подходит не к одой теме","2025-05-15T10:08:52.018284Z","","","","",""
120,"1","Надолго ли(","2025-05-15T10:09:00.646295Z",3887614,5.546,2,"не подходит не к одой теме","2025-05-15T10:09:00.646295Z","","","","",""
121,"1","Надолго ли(","2025-05-15T10:09:04.599259Z",3887616,1.71,2,"не подходит не к одой теме","2025-05-15T10:09:04.599259Z","","","","",""
122,"1","Спасибо. Все работает","2025-05-15T10:09:07.698523Z",3887743,15.277999999999999,5,"Вопрос решен","2025-05-15T10:09:24.180223Z","","","","",""
123,"1","Спасибо большое!","2025-05-15T10:09:30.207451Z",3887791,4.475,5,"не подходит не к одой теме","2025-05-15T10:09:30.207451Z","","","","",""
124,"1","Спасибо!","2025-05-15T10:09:32.239481Z",3887832,1.451,5,"не подходит не к одой теме","2025-05-15T10:09:32.239481Z","","","","",""
125,"1","заявка выполнена, спасибо.","2025-05-15T10:09:37.654006Z",3887844,2.933,5,"Вопрос решен","2025-05-15T10:09:37.654006Z","","","","",""
126,"1","Дверь закрывается намного лучше.","2025-05-15T10:10:03.738314Z",3887922,22.805,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-15T10:10:03.738314Z","","","","",""
127,"1","Спасибо за быстрое реагирование!!!","2025-05-15T10:10:09.640989Z",3888009,1.647,5,"Нравится скорость отработки заявок","2025-05-15T10:10:09.640989Z","","","","",""
128,"1","Оперативно сработали, благодарю.","2025-05-15T11:28:14.425869Z",3888318,4683.182,5,"Нравится скорость отработки заявок","2025-05-15T11:28:14.425869Z","","","","",""
129,"1","спасибо большое","2025-05-15T11:28:18.459123Z",3888320,2.368,5,"не подходит не к одой теме","2025-05-15T11:28:18.459123Z","","","","",""
130,"1","Спасибо сантехнику Алексею, все сделано качественно ","2025-05-15T11:28:28.773053Z",3888354,3.407,5,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}","2025-05-15T11:28:28.773053Z","","","","",""
131,"1","Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!","2025-05-15T11:29:04.742085Z",3888539,12.523,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-15T11:29:04.742085Z","","","","",""
132,"1","Очень оперативно и никуда не пришлось ходить.","2025-05-15T11:29:40.531849Z",3888591,10.765,5,"Нравится скорость отработки заявок","2025-05-15T11:29:40.531849Z","","","","",""
133,"1","Проблема решена.","2025-05-15T11:29:43.877542Z",3888606,1.822,5,"Вопрос решен","2025-05-15T11:29:43.877542Z","","","","",""
134,"1","Очень оперативно отреагировали! Спасибо!","2025-05-15T11:29:47.778119Z",3888633,3.256,5,"Нравится скорость отработки заявок","2025-05-15T11:29:47.778119Z","","","","",""
135,"1","оперативно, качественно, вопросов не возникло. Спасибо.","2025-05-15T11:30:00.954677Z",3888794,9.684,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}","2025-05-15T11:30:00.955682Z","","","","",""
136,"1","Быстро!","2025-05-15T11:30:07.096412Z",3888811,4.714,5,"не подходит не к одой теме","2025-05-15T11:30:07.096412Z","","","","",""
137,"1","Благодарю за оперативность!","2025-05-15T11:30:45.558611Z",3888828,7.928,5,"Нравится скорость отработки заявок","2025-05-15T11:30:45.558611Z","","","","",""
138,"1","спасибо за оперативное решение проблемы. ","2025-05-15T11:30:58.574697Z",3889213,10.921,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-15T11:30:58.574697Z","","","","",""
139,"1","Оперативная работа","2025-05-15T11:31:09.090205Z",3889473,6.096,1,"Нравится скорость отработки заявок","2025-05-15T11:31:09.090205Z","","","","",""
140,"1","оперативное решение проблемы! 
","2025-05-15T11:31:15.929542Z",3889502,5.358,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-15T11:31:15.929542Z","","","","",""
141,"1","Первый раз вы решили вопрос быстро ","2025-05-15T11:31:28.679493Z",3889542,3.389,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-15T11:31:28.679493Z","","","","",""
142,"1","Надолго ли","2025-05-15T11:31:37.864483Z",3889737,7.478,1,"не подходит не к одой теме","2025-05-15T11:31:37.864483Z","","","","",""
143,"1","отлично спасибо ","2025-05-15T11:31:56.442765Z",3889783,17.168,5,"не подходит не к одой теме","2025-05-15T11:31:56.442765Z","","","","",""
144,"1","спасибо большое, Татьяна.","2025-05-15T11:32:08.242333Z",3889827,1.773,5,"Нравится качество работы сотрудников","2025-05-15T11:32:08.242333Z","","","","",""
145,"1","спасибо ","2025-05-15T11:32:11.324941Z",3889866,1.771,5,"не подходит не к одой теме","2025-05-15T11:32:11.324941Z","","","","",""
146,"1","Лучший мастер на свете 🥰Спасибо большое 🙏","2025-05-15T11:32:20.474353Z",3889956,3.239,5,"Нравится качество работы сотрудников","2025-05-15T11:32:20.474353Z","","","","",""
147,"1","Спасибо большое, что починили домофон. ","2025-05-15T11:32:29.467701Z",3890030,5.574,5,"Вопрос решен","2025-05-15T11:32:29.467701Z","","","","",""
148,"1","Отличная работа","2025-05-15T11:32:41.578214Z",3890209,11.12,5,"{""choices"":[""Нравится качество выполнения заявки"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-15T11:32:41.578214Z","","","","",""
150,"1","Спасибо огромное за помощь!","2025-05-15T11:33:15.598348Z",3890231,9.984,5,"не подходит не к одой теме","2025-05-15T11:33:15.598348Z","","","","",""
149,"1","обычная услуга. Цена, правда, завышена (за около 10ти минут работы). ","2025-05-15T11:33:12.964028Z",3890239,6.116,5,"не подходит не к одой теме","2025-05-15T11:33:12.964028Z","","","","",""
151,"1","отличная работа. теперь дверь закрывается плавно. спасибо. ","2025-05-15T11:33:59.019477Z",3890275,6.628,5,"не подходит не к одой теме","2025-05-15T11:33:59.019477Z","","","","",""
152,"1","спасибо","2025-05-15T11:34:01.356738Z",3890303,2.607,5,"не подходит не к одой теме","2025-05-15T11:34:08.340757Z","","","","",""
153,"1","спасибо большое ","2025-05-15T11:34:12.961829Z",3890389,1.69,5,"не подходит не к одой теме","2025-05-15T11:34:12.961829Z","","","","",""
154,"1","Все супер быстро! Спасибо! ","2025-05-15T11:34:21.875973Z",3890393,6.666,5,"Нравится скорость отработки заявок","2025-05-15T11:34:21.875973Z","","","","",""
